YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2019,2019,CT,Connecticut,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",,"cases per 100,000",Age-adjusted Rate,26.7,26.7,,,25.2,28.1,Overall,Overall,,,,,POINT (-72.64984095199964 41.56266102000046),9,CVD,CVD07,,AGEADJRATE,OVERALL,OVR,,,,
2022,2022,TX,Texas,BRFSS,Oral Health,All teeth lost among adults aged 65 years and older,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-99.42677020599967 31.827240407000488),48,ORH,ORH03,,AGEADJPREV,RACE,AIAN,,,,
2022,2022,VI,Virgin Islands,BRFSS,Tobacco,Quit attempts in the past year among adult current smokers,,%,Crude Prevalence,,,#,No data available for this indicator because the module was not used by the state or territory,,,Sex,Male,,,,,POINT (-64.896335 18.335765),78,TOB,TOB06,,CRDPREV,SEX,SEXM,,,,
2019,2020,SC,South Carolina,BRFSS,Cognitive Health and Caregiving,Subjective cognitive decline among adults aged 45 years and older,,%,Age-adjusted Prevalence,12.8,12.8,,,9.7,16.7,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-81.04537120699968 33.998821303000454),45,CHC,CHC01,,AGEADJPREV,RACE,BLK,,,,
2020,2020,VT,Vermont,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,Hispanic,,,,,POINT (-72.51764079099962 43.62538123900049),50,CAN,CAN09,,CRDPREV,RACE,HIS,,,,
2020,2020,CT,Connecticut,NVSS,Alcohol,"Chronic liver disease mortality among all people, underlying cause",,Number,Number,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-72.64984095199964 41.56266102000046),9,ALC,ALC09,,NMBR,RACE,HAPI,,,,
2020,2021,NE,Nebraska,NSCH,"Nutrition, Physical Activity, and Weight Status",Children and adolescents aged 6-13 years meeting aerobic physical activity guideline,,%,Crude Prevalence,37.5,37.5,,,31.7,43.7,Age,Age 6-9,,,,,POINT (-99.36572062299967 41.6410409880005),31,NPAW,NPW07,,CRDPREV,AGE,AGE6_9,,,,
2020,2020,NH,New Hampshire,BRFSS,Health Status,Fair or poor self-rated health status among adults,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-71.50036091999965 43.65595011300047),33,HEA,HEA01,,AGEADJPREV,RACE,AIAN,,,,
2019,2019,HI,Hawaii,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",,Number,Number,69.0,69.0,,,,,Age,Age 0-44,,,,,POINT (-157.85774940299973 21.304850435000446),15,CVD,CVD09,,NMBR,AGE,AGE0_44,,,,
2018,2019,WV,West Virginia,NSCH,Oral Health,Receipt of evidence-based preventive dental services in the past 12 months among children and adolescents aged 1-17 years,,%,Crude Prevalence,52.5,52.5,,,48.7,56.2,Overall,Overall,,,,,POINT (-80.71264013499967 38.66551020200046),54,ORH,ORH05,,CRDPREV,OVERALL,OVR,,,,
2021,2021,GA,Georgia,YRBSS,Mental Health,Current poor mental health among high school students,,%,Crude Prevalence,,,*,No data available,,,Grade,Grade 10,,,,,POINT (-83.62758034599966 32.83968109300048),13,MEN,MEN01,,CRDPREV,GRADE,GRD10,,,,
2022,2022,MO,Missouri,BRFSS,Health Status,2 or more chronic conditions among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-92.56630005299968 38.635790776000476),29,HEA,HEA05,,CRDPREV,RACE,ASN,,,,
2021,2021,NJ,New Jersey,YRBSS,Tobacco,Current electronic vapor product use among high school students,,%,Crude Prevalence,18.4,18.4,,,10.0,31.4,Grade,Grade 10,,,,,POINT (-74.27369128799967 40.13057004800049),34,TOB,TOB02,,CRDPREV,GRADE,GRD10,,,,
2019,2019,FL,Florida,PRAMS,Diabetes,Gestational diabetes among women with a recent live birth,,%,Crude Prevalence,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-81.92896053899966 28.932040377000476),12,DIA,DIA02,,CRDPREV,RACE,AIAN,,,,
2019,2020,KY,Kentucky,BRFSS,Cognitive Health and Caregiving,Subjective cognitive decline among adults aged 45 years and older,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-84.77497104799966 37.645970271000465),21,CHC,CHC01,,AGEADJPREV,RACE,AIAN,,,,
2020,2020,MI,Michigan,BRFSS,Oral Health,Six or more teeth lost among adults aged 65 years and older,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-84.71439026999968 44.6613195430005),26,ORH,ORH02,,CRDPREV,RACE,AIAN,,,,
2015,2019,WA,Washington,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,Number,Number,19239.0,19239.0,,,,,Sex,Male,,,,,POINT (-120.47001078999972 47.52227862900048),53,CAN,CAN07,,NMBR,SEX,SEXM,,,,
2021,2021,NM,New Mexico,BRFSS,Mental Health,Average mentally unhealthy days among adults,,Number,Age-adjusted Mean,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-106.24058098499967 34.52088095200048),35,MEN,MEN04,,AGEADJMEAN,RACE,BLK,,,,
2019,2020,SD,South Dakota,BRFSS,Cognitive Health and Caregiving,Discussed symptoms of subjective cognitive decline with a health care professional among adults aged 45 years and older with subjective cognitive decline,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-100.3735306369997 44.353130053000484),46,CHC,CHC02,,AGEADJPREV,RACE,HAPI,,,,
2021,2021,FL,Florida,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",,"cases per 1,000",Age-adjusted Rate,27.5,27.5,,,27.2,27.81,Sex,Female,,,,,POINT (-81.92896053899966 28.932040377000476),12,CVD,CVD06,,AGEADJRATE,SEX,SEXF,,,,
2015,2019,SD,South Dakota,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Crude Rate,49.0,49.0,,,34.2,68.2,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-100.3735306369997 44.353130053000484),46,CAN,CAN08,,CRDRATE,RACE,API,,,,
2022,2022,KY,Kentucky,BRFSS,Oral Health,No teeth lost among adults aged 18-64 years,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-84.77497104799966 37.645970271000465),21,ORH,ORH01,,AGEADJPREV,RACE,AIAN,,,,
2021,2021,OH,Ohio,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",,Number,Number,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-82.40426005599966 40.06021014100048),39,CVD,CVD06,,NMBR,RACE,AIAN,,,,
2021,2021,WI,Wisconsin,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older",,"cases per 1,000",Age-adjusted Rate,79.91,79.91,,,79.11,80.72,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-89.81637074199966 44.39319117400049),55,COPD,COPD03,,AGEADJRATE,RACE,WHT,,,,
2019,2019,GU,Guam,BRFSS,Alcohol,Binge drinking intensity among adults who binge drink,,Number,Crude 75th percentile,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (144.793731 13.444304),66,ALC,ALC05,,CRD75TH,RACE,BLK,,,,
2021,2021,ND,North Dakota,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older",,"cases per 1,000",Age-adjusted Rate,135.58,135.58,,,121.51,149.66,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-100.11842104899966 47.47531977900047),38,COPD,COPD03,,AGEADJRATE,RACE,AIAN,,,,
2019,2020,MA,Massachusetts,BRFSS,Cognitive Health and Caregiving,Provided care for someone with dementia or other cognitive impairment in the past month among adults,,%,Age-adjusted Prevalence,,,#,No data available for this indicator because the module was not used by the state or territory,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-72.08269067499964 42.27687047000046),25,CHC,CHC03,,AGEADJPREV,RACE,MRC,,,,
2020,2020,NY,New York,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older",,"cases per 1,000",Crude Rate,115.26,115.26,,,113.74,116.78,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-75.54397042699964 42.82700103200045),36,COPD,COPD03,,CRDRATE,RACE,BLK,,,,
2016,2020,VT,Vermont,US Cancer DVT,Cancer,"Prostate cancer mortality among all males, underlying cause",,"per 100,000",Age-adjusted Rate,21.1,21.1,,,19.0,23.3,Overall,Overall,,,,,POINT (-72.51764079099962 43.62538123900049),50,CAN,CAN05,,AGEADJRATE,OVERALL,OVR,,,,
2021,2021,OK,Oklahoma,YRBSS,"Nutrition, Physical Activity, and Weight Status",Met aerobic physical activity guideline among high school students,,%,Crude Prevalence,23.3,23.3,,,19.7,27.4,Race/Ethnicity,Hispanic,,,,,POINT (-97.52107021399968 35.47203135600046),40,NPAW,NPW08,,CRDPREV,RACE,HIS,,,,
2019,2019,KY,Kentucky,BRFSS,Mental Health,Depression among adults,,%,Crude Prevalence,23.3,23.3,,,14.3,35.7,Race/Ethnicity,Hispanic,,,,,POINT (-84.77497104799966 37.645970271000465),21,MEN,MEN02,,CRDPREV,RACE,HIS,,,,
2022,2022,DE,Delaware,BRFSS,Health Status,Recent activity limitation among adults,,Number,Age-adjusted Mean,5.4,5.4,,,3.2,7.7,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-75.57774116799965 39.008830667000495),10,HEA,HEA04,,AGEADJMEAN,RACE,MRC,,,,
2021,2021,AK,Alaska,YRBSS,"Nutrition, Physical Activity, and Weight Status",Consumed regular soda at least one time daily among high school students,,%,Crude Prevalence,,,*,No data available,,,Race/Ethnicity,Hispanic,,,,,POINT (-147.72205903599973 64.84507995700051),2,NPAW,NPW05,,CRDPREV,RACE,HIS,,,,
2019,2019,UT,Utah,NVSS,Cardiovascular Disease,"Diseases of the heart mortality among all people, underlying cause",,"cases per 100,000",Age-adjusted Rate,169.0,169.0,,,161.5,176.5,Sex,Male,,,,,POINT (-111.58713063499971 39.360700171000474),49,CVD,CVD09,,AGEADJRATE,SEX,SEXM,,,,
2015,2019,AZ,Arizona,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,23.8,23.8,,,21.6,26.2,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-111.76381127699972 34.865970280000454),4,CAN,CAN04,,CRDRATE,RACE,BLK,,,,
2020,2020,LA,Louisiana,NVSS,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",,"cases per 100,000",Age-adjusted Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-92.44568007099969 31.31266064400046),22,DIA,DIA04,,AGEADJRATE,RACE,AIAN,,,,
2020,2020,CT,Connecticut,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,"Hospitalization for chronic obstructive pulmonary disease as any diagnosis, Medicare-beneficiaries aged 65 years and older",,Number,Number,15486.0,15486.0,,,,,Sex,Female,,,,,POINT (-72.64984095199964 41.56266102000046),9,COPD,COPD03,,NMBR,SEX,SEXF,,,,
2016,2020,ME,Maine,US Cancer DVT,Cancer,"Cervical cancer mortality among all females, underlying cause",,Number,Number,11.0,11.0,,,,,Overall,Overall,,,,,POINT (-68.98503133599962 45.254228894000505),23,CAN,CAN03,,NMBR,OVERALL,OVR,,,,
2019,2019,GU,Guam,BRFSS,"Nutrition, Physical Activity, and Weight Status","Met aerobic physical activity guideline for substantial health benefits, adults",,%,Age-adjusted Prevalence,44.7,44.7,,,34.1,55.8,Race/Ethnicity,Hispanic,,,,,POINT (144.793731 13.444304),66,NPAW,NPW09,,AGEADJPREV,RACE,HIS,,,,
2022,2022,NM,New Mexico,BRFSS,Mental Health,Frequent mental distress among adults,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-106.24058098499967 34.52088095200048),35,MEN,MEN05,,AGEADJPREV,RACE,MRC,,,,
2020,2020,HI,Hawaii,BRFSS,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,,%,Crude Prevalence,22.7,22.7,,,20.0,25.7,Overall,Overall,,,,,POINT (-157.85774940299973 21.304850435000446),15,IMM,IMM03,,CRDPREV,OVERALL,OVR,,,,
2021,2021,TN,Tennessee,BRFSS,Tobacco,Current cigarette smoking among adults,,%,Crude Prevalence,21.0,21.0,,,18.6,23.5,Sex,Male,,,,,POINT (-85.77449091399967 35.68094058000048),47,TOB,TOB04,,CRDPREV,SEX,SEXM,,,,
2019,2019,NC,North Carolina,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,11.8,11.8,,,10.8,12.9,Overall,Overall,,,,,POINT (-79.15925046299964 35.466220975000454),37,DIA,DIA01,,CRDPREV,OVERALL,OVR,,,,
2020,2020,NJ,New Jersey,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",,Number,Number,10332.0,10332.0,,,,,Sex,Female,,,,,POINT (-74.27369128799967 40.13057004800049),34,CVD,CVD06,,NMBR,SEX,SEXF,,,,
2019,2020,AL,Alabama,BRFSS,Cognitive Health and Caregiving,Subjective cognitive decline among adults aged 45 years and older,,%,Crude Prevalence,14.4,14.4,,,12.6,16.5,Age,Age 45-64,,,,,POINT (-86.63186076199969 32.84057112200048),1,CHC,CHC01,,CRDPREV,AGE,AGE4564,,,,
2019,2019,IL,Illinois,BRFSS,Health Status,Fair or poor self-rated health status among adults,,%,Crude Prevalence,26.0,26.0,,,16.0,39.3,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-88.99771017799969 40.48501028300046),17,HEA,HEA01,,CRDPREV,RACE,MRC,,,,
2022,2022,VT,Vermont,BRFSS,Oral Health,No teeth lost among adults aged 18-64 years,,%,Age-adjusted Prevalence,72.4,72.4,,,70.9,73.8,Overall,Overall,,,,,POINT (-72.51764079099962 43.62538123900049),50,ORH,ORH01,,AGEADJPREV,OVERALL,OVR,,,,
2022,2022,LA,Louisiana,BRFSS,Oral Health,Visited dentist or dental clinic in the past year among adults,,%,Age-adjusted Prevalence,47.0,47.0,,,33.6,60.8,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-92.44568007099969 31.31266064400046),22,ORH,ORH06,,AGEADJPREV,RACE,AIAN,,,,
2022,2022,AR,Arkansas,BRFSS,Mental Health,Frequent mental distress among adults,,%,Crude Prevalence,19.5,19.5,,,17.3,21.8,Age,Age 45-64,,,,,POINT (-92.27449074299966 34.74865012400045),5,MEN,MEN05,,CRDPREV,AGE,AGE4564,,,,
2019,2019,UT,Utah,CMS Part A Claims Data,Chronic Obstructive Pulmonary Disease,"Hospitalization for chronic obstructive pulmonary disease as principal diagnosis, Medicare-beneficiaries aged 65 years and older",,"cases per 1,000",Age-adjusted Rate,2.69,2.69,,,2.36,3.03,Sex,Male,,,,,POINT (-111.58713063499971 39.360700171000474),49,COPD,COPD04,,AGEADJRATE,SEX,SEXM,,,,
2019,2019,NE,Nebraska,BRFSS,Immunization,Pneumococcal vaccination among adults aged 65 years and older,,%,Crude Prevalence,76.1,76.1,,,74.5,77.5,Overall,Overall,,,,,POINT (-99.36572062299967 41.6410409880005),31,IMM,IMM04,,CRDPREV,OVERALL,OVR,,,,
2019,2020,PR,Puerto Rico,BRFSS,Cognitive Health and Caregiving,Subjective cognitive decline among adults aged 45 years and older,,%,Crude Prevalence,6.3,6.3,,,4.7,8.4,Race/Ethnicity,Hispanic,,,,,POINT (-66.590149 18.220833),72,CHC,CHC01,,CRDPREV,RACE,HIS,,,,
2022,2022,NV,Nevada,BRFSS,Cancer,Mammography use among women aged 50-74 years,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-117.07184056399967 39.493240390000494),32,CAN,CAN09,,CRDPREV,RACE,ASN,,,,
2022,2022,NH,New Hampshire,BRFSS,Alcohol,Binge drinking frequency among adults who binge drink,,Number,Crude 75th percentile,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-71.50036091999965 43.65595011300047),33,ALC,ALC04,,CRD75TH,RACE,BLK,,,,
2022,2022,MN,Minnesota,BRFSS,Mental Health,Frequent mental distress among adults,,%,Age-adjusted Prevalence,12.6,12.6,,,11.6,13.7,Sex,Male,,,,,POINT (-94.79420050299967 46.35564873600049),27,MEN,MEN05,,AGEADJPREV,SEX,SEXM,,,,
2019,2019,NC,North Carolina,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,,%,Crude Prevalence,25.4,25.4,,,20.1,31.4,Race/Ethnicity,Hispanic,,,,,POINT (-79.15925046299964 35.466220975000454),37,CVD,CVD03,,CRDPREV,RACE,HIS,,,,
2019,2019,NJ,New Jersey,NVSS,Diabetes,"Diabetic ketoacidosis mortality among all people, underlying or contributing cause",,"cases per 100,000",Age-adjusted Rate,1.1,1.1,,,0.9,1.4,Sex,Female,,,,,POINT (-74.27369128799967 40.13057004800049),34,DIA,DIA04,,AGEADJRATE,SEX,SEXF,,,,
2020,2020,NM,New Mexico,NVSS,Cardiovascular Disease,"Cerebrovascular disease (stroke) mortality among all people, underlying cause",,Number,Number,24.0,24.0,,,,,Age,Age 0-44,,,,,POINT (-106.24058098499967 34.52088095200048),35,CVD,CVD07,,NMBR,AGE,AGE0_44,,,,
2019,2019,ME,Maine,NVSS,Cardiovascular Disease,"Coronary heart disease mortality among all people, underlying cause",,"cases per 100,000",Crude Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-68.98503133599962 45.254228894000505),23,CVD,CVD08,,CRDRATE,RACE,MRC,,,,
2021,2021,HI,Hawaii,BRFSS,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults,,%,Crude Prevalence,23.7,23.7,,,21.5,26.1,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-157.85774940299973 21.304850435000446),15,NPAW,NPW06,,CRDPREV,RACE,ASN,,,,
2021,2021,NE,Nebraska,BRFSS,Cardiovascular Disease,High cholesterol among adults who have been screened,,%,Crude Prevalence,39.2,39.2,,,37.3,41.2,Age,Age 45-64,,,,,POINT (-99.36572062299967 41.6410409880005),31,CVD,CVD03,,CRDPREV,AGE,AGE4564,,,,
2015,2019,WA,Washington,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,523.9,523.9,,,503.3,545.0,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-120.47001078999972 47.52227862900048),53,CAN,CAN07,,AGEADJRATE,RACE,AIAN,,,,
2020,2020,MT,Montana,AEDS,Alcohol,Per capita alcohol consumption among people aged 14 years and older,,gallons,Per capita alcohol consumption gallons,3.32,3.32,,,,,Overall,Overall,,,,,POINT (-109.42442064499971 47.06652897200047),30,ALC,ALC08,,PERCAPALC,OVERALL,OVR,,,,
2019,2019,WI,Wisconsin,BRFSS,Health Status,Average recent physically unhealthy days among adults,,Number,Crude Mean,4.8,4.8,,,4.3,5.4,Age,Age 45-64,,,,,POINT (-89.81637074199966 44.39319117400049),55,HEA,HEA02,,CRDMEAN,AGE,AGE4564,,,,
2019,2019,WY,Wyoming,NVSS,Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease mortality among adults aged 45 years and older, underlying or contributing cause",,"cases per 100,000",Crude Rate,676.6,676.6,,,625.4,727.7,Age,Age >=65,,,,,POINT (-108.10983035299967 43.23554134300048),56,COPD,COPD06,,CRDRATE,AGE,AGE65P,,,,
2021,2021,WI,Wisconsin,BRFSS,Cardiovascular Disease,Taking medicine to control high blood pressure among adults with high blood pressure,,%,Crude Prevalence,84.1,84.1,,,80.2,87.4,Sex,Female,,,,,POINT (-89.81637074199966 44.39319117400049),55,CVD,CVD02,,CRDPREV,SEX,SEXF,,,,
2022,2022,UT,Utah,BRFSS,Tobacco,Quit attempts in the past year among adult current smokers,,%,Crude Prevalence,51.0,51.0,,,44.7,57.3,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-111.58713063499971 39.360700171000474),49,TOB,TOB06,,CRDPREV,RACE,WHT,,,,
2021,2021,AR,Arkansas,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",,"cases per 100,000",Age-adjusted Rate,120.4,120.4,,,116.8,124.0,Overall,Overall,,,,,POINT (-92.27449074299966 34.74865012400045),5,DIA,DIA03,,AGEADJRATE,OVERALL,OVR,,,,
2019,2019,CA,California,BRFSS,Health Status,Frequent physical distress among adults,,%,Crude Prevalence,12.2,12.2,,,11.1,13.3,Sex,Female,,,,,POINT (-120.99999953799971 37.63864012300047),6,HEA,HEA03,,CRDPREV,SEX,SEXF,,,,
2015,2019,OK,Oklahoma,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,50.1,50.1,,,49.1,51.1,Race/Ethnicity,"White, non-Hispanic",,,,,POINT (-97.52107021399968 35.47203135600046),40,CAN,CAN04,,AGEADJRATE,RACE,WHT,,,,
2019,2019,FL,Florida,BRFSS,Health Status,Frequent physical distress among adults,,%,Crude Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Hawaiian or Pacific Islander, non-Hispanic",,,,,POINT (-81.92896053899966 28.932040377000476),12,HEA,HEA03,,CRDPREV,RACE,HAPI,,,,
2020,2020,SD,South Dakota,BRFSS,Health Status,Fair or poor self-rated health status among adults,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-100.3735306369997 44.353130053000484),46,HEA,HEA01,,AGEADJPREV,RACE,MRC,,,,
2020,2020,MO,Missouri,BRFSS,Mental Health,Depression among adults,,%,Age-adjusted Prevalence,,,****,Data suppressed; denominator < 50 or relative standard error > 30%,,,Race/Ethnicity,"Asian, non-Hispanic",,,,,POINT (-92.56630005299968 38.635790776000476),29,MEN,MEN02,,AGEADJPREV,RACE,ASN,,,,
2019,2019,IN,Indiana,BRFSS,"Nutrition, Physical Activity, and Weight Status",Obesity among adults,,%,Age-adjusted Prevalence,36.1,36.1,,,34.1,38.1,Sex,Female,,,,,POINT (-86.14996019399968 39.766910452000445),18,NPAW,NPW14,,AGEADJPREV,SEX,SEXF,,,,
2020,2020,OH,Ohio,BRFSS,Health Status,Fair or poor self-rated health status among adults,,%,Age-adjusted Prevalence,18.5,18.5,,,13.9,24.2,Race/Ethnicity,Hispanic,,,,,POINT (-82.40426005599966 40.06021014100048),39,HEA,HEA01,,AGEADJPREV,RACE,HIS,,,,
2019,2019,IN,Indiana,BRFSS,Diabetes,Diabetes among adults,,%,Crude Prevalence,22.7,22.7,,,12.2,38.3,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-86.14996019399968 39.766910452000445),18,DIA,DIA01,,CRDPREV,RACE,AIAN,,,,
2015,2019,MA,Massachusetts,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,Number,Number,2052.0,2052.0,,,,,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-72.08269067499964 42.27687047000046),25,CAN,CAN07,,NMBR,RACE,BLK,,,,
2019,2019,NY,New York,CMS Part A Claims Data,Cardiovascular Disease,"Hospitalization for heart failure as principal diagnosis, Medicare-beneficiaries aged 65 years and older",,"cases per 1,000",Crude Rate,54.84,54.84,,,53.76,55.91,Race/Ethnicity,"Black, non-Hispanic",,,,,POINT (-75.54397042699964 42.82700103200045),36,CVD,CVD06,,CRDRATE,RACE,BLK,,,,
2021,2021,NM,New Mexico,YRBSS,Tobacco,Current smokeless tobacco use among high school students,,%,Crude Prevalence,2.4,2.4,,,1.8,3.3,Overall,Overall,,,,,POINT (-106.24058098499967 34.52088095200048),35,TOB,TOB03,,CRDPREV,OVERALL,OVR,,,,
2021,2021,MT,Montana,NVSS,Diabetes,"Diabetes mortality among all people, underlying or contributing cause",,"cases per 100,000",Crude Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Multiracial, non-Hispanic",,,,,POINT (-109.42442064499971 47.06652897200047),30,DIA,DIA03,,CRDRATE,RACE,MRC,,,,
2016,2020,MO,Missouri,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,261.6,261.6,,,249.5,274.0,Race/Ethnicity,Hispanic,,,,,POINT (-92.56630005299968 38.635790776000476),29,CAN,CAN07,,AGEADJRATE,RACE,HIS,,,,
2015,2019,VT,Vermont,US Cancer DVT,Cancer,"Lung and bronchial cancer mortality among all people, underlying cause",,"per 100,000",Crude Rate,,,~,Data suppressed; too few respondents or cases,,,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-72.51764079099962 43.62538123900049),50,CAN,CAN04,,CRDRATE,RACE,API,,,,
2020,2020,IA,Iowa,BRFSS,Immunization,Pneumococcal vaccination among adults aged 18â€“64 years who are at increased risk,,%,Age-adjusted Prevalence,19.4,19.4,,,12.7,28.6,Race/Ethnicity,Hispanic,,,,,POINT (-93.81649055599968 42.46940091300047),19,IMM,IMM03,,AGEADJPREV,RACE,HIS,,,,
2022,2022,MD,Maryland,BRFSS,Health Status,Fair or poor self-rated health status among adults,,%,Age-adjusted Prevalence,25.5,25.5,,,16.1,38.0,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-76.60926011099963 39.29058096400047),24,HEA,HEA01,,AGEADJPREV,RACE,AIAN,,,,
